business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"6RQ3+QH, Maddenra, Kulo, Sidenreng Rappang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.760546, 'lng': 119.8039686}, 'viewport': {'northeast': {'lat': -3.759206320107278, 'lng': 119.8052611798927}, 'southwest': {'lat': -3.761905979892722, 'lng': 119.8025615201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kantor Resort Taman Wisata Alam Sidrap,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107015919293852846032"">A Google User</a>'], 'photo_reference': 'AUGGfZl98WzGv2JGpTLOuR0H2KYDv2f7Rnq8R0BnnG_e6qiSslcdCdxvekntprO0kxdiJn93R1obt8d0mR2r4ZtE7hzAPiLe0UL4POtrgkQftDS6TegFGDYPz05SZ4ZayKFaclFZWPwVx9NgeSE51c9x3g2n9ncWnd9T82kGFi1NgWNZolyI', 'width': 3024}]",ChIJAefGHo41lC0RjIpNbiUUHl0,5,ChIJAefGHo41lC0RjIpNbiUUHl0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,https://www.google.com/maps/place/?q=place_id:ChIJAefGHo41lC0RjIpNbiUUHl0
CLOSED_PERMANENTLY,"7R23+3G4, Maddenra, Kulo, Sidenreng Rappang Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.7498643, 'lng': 119.8038141}, 'viewport': {'northeast': {'lat': -3.748560620107278, 'lng': 119.8051636798927}, 'southwest': {'lat': -3.751260279892722, 'lng': 119.8024640201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embun Wisata Cenreangin Desa Maddenra Kec. Kulo,,ChIJFeUsl4k1lC0R_bZ-E619AWI,0,ChIJFeUsl4k1lC0R_bZ-E619AWI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJFeUsl4k1lC0R_bZ-E619AWI
