business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Jend Sudirman No. 51, Biringere, Sinjai, Kabupaten Sinjai, Sulawesi Selatan 92613, Indonesia","{'location': {'lat': -5.129957699999999, 'lng': 120.2496319}, 'viewport': {'northeast': {'lat': -5.128594570107278, 'lng': 120.2509869298927}, 'southwest': {'lat': -5.131294229892722, 'lng': 120.2482872701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Grand Rofina,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107103848096719497824"">moja Kasim</a>'], 'photo_reference': 'AUGGfZlsm4fXSgivxlxd_ewNVHAgvva20Xcvaj4fVYCxIoAMaUnV2R_8MDpbwaG4sKvbxdRc1UoXL6F5rjHWZXMIGvO14494cL8MwRgq94EO2LB5jDnndnXvwdoLP8Feraao3jKhApBM4sxR7nqHn2eok7fCmGik2CINU8e2tMWolz_Tb_wW', 'width': 4000}]",ChIJA2O3RuAlvC0R96JQX1QMhxw,"{'compound_code': 'V69X+XR Biringere, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V69X+XR'}",3.7,ChIJA2O3RuAlvC0R96JQX1QMhxw,"['lodging', 'point_of_interest', 'establishment']",447,,https://www.google.com/maps/place/?q=place_id:ChIJA2O3RuAlvC0R96JQX1QMhxw
OPERATIONAL,"Jl. Petta Ponggawae, Sangianseri, Kec. Sinjai Sel., Kabupaten Sinjai, Sulawesi Selatan 92615, Indonesia","{'location': {'lat': -5.1080368, 'lng': 120.2517849}, 'viewport': {'northeast': {'lat': -5.106683070107277, 'lng': 120.2531925798928}, 'southwest': {'lat': -5.109382729892721, 'lng': 120.2504929201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Luxury Sinjai,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107103848096719497824"">moja Kasim</a>'], 'photo_reference': 'AUGGfZkZDH9jP6iAPUloU2w1e5rkHXjn2Zp8qith3NOIEgyDiKvGPn_nSXd6MrlZmkLjlsZaQwpycQjodXrCKkXSt31KbP1fLuFGJtOQ60WkDyXyptxiX3Ln34i5N1C8MlS_M4VItODatLNEbQWvx2cdqYHYTV-aQ-2y2Y_S70OpRujzTfsy', 'width': 4000}]",ChIJrxzk3OUlvC0RS-3hqq8Kmqw,"{'compound_code': 'V7R2+QP Bongki, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V7R2+QP'}",4.4,ChIJrxzk3OUlvC0RS-3hqq8Kmqw,"['lodging', 'point_of_interest', 'establishment']",76,,https://www.google.com/maps/place/?q=place_id:ChIJrxzk3OUlvC0RS-3hqq8Kmqw
OPERATIONAL,"Jl. Petta Ponggawae No.27, Bongki, Kec. Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan 92612, Indonesia","{'location': {'lat': -5.108230900000001, 'lng': 120.2518558}, 'viewport': {'northeast': {'lat': -5.106879170107279, 'lng': 120.2532364798927}, 'southwest': {'lat': -5.109578829892722, 'lng': 120.2505368201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RAIHAN HOTEL SINJAI,"[{'height': 2796, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118372536551132153192"">A Google User</a>'], 'photo_reference': 'AUGGfZk6Rl-EY94LeB0x1JGfkO8zrmTFJQz6dVpJ5GgRERytDyCUuElVAZOk2hJLu76nFS06Sotqk8vfvxA3m6ZMZQEfJNW2P_mkck0AGOlrTH8-igrezPvGrxOEa4O7dUIjqtQFtMkPAOLZwFrg9d_jXvhxDHk8jxJXBz3kncfRgWFJQB4', 'width': 1290}]",ChIJ-5Fb64slvC0R5sIvWkuIt3M,"{'compound_code': 'V7R2+PP Bongki, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V7R2+PP'}",4.1,ChIJ-5Fb64slvC0R5sIvWkuIt3M,"['lodging', 'point_of_interest', 'establishment']",42,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ-5Fb64slvC0R5sIvWkuIt3M
OPERATIONAL,"Jl. Gn. Lompo Battang, Balangnipa, Makasar, Kabupaten Sinjai, Sulawesi Selatan 92612, Indonesia","{'location': {'lat': -5.1160305, 'lng': 120.2562729}, 'viewport': {'northeast': {'lat': -5.114643720107278, 'lng': 120.2575245798927}, 'southwest': {'lat': -5.117343379892722, 'lng': 120.2548249201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Srikandi Sinjai Syariah RedPartner,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108186121046444111073"">muslimin chimink</a>'], 'photo_reference': 'AUGGfZkjp84CDe-axvnfpNiKyYhqoGqCdr1nSvt_433wmmORnlhw4Au4CuaNHtuaL7dOwKL02a959mkYdiXxsWU7-JxuXh7Vg9ELe6ImT5wsaJ2oFUwa5BduViDokJD4e1F1gyAPPXuyGZXSBuk3xI6S1AQAOWIEmpknDhCOmjuKFmDmx5yY', 'width': 4640}]",ChIJD3-V2eAlvC0RWhbV2QW51bg,"{'compound_code': 'V7M4+HG Balangnipa, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V7M4+HG'}",4.0,ChIJD3-V2eAlvC0RWhbV2QW51bg,"['lodging', 'point_of_interest', 'establishment']",148,,https://www.google.com/maps/place/?q=place_id:ChIJD3-V2eAlvC0RWhbV2QW51bg
OPERATIONAL,"Jl. K.H. Agussalim No.38, Balangnipa, Kec. Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan 92614, Indonesia","{'location': {'lat': -5.1209869, 'lng': 120.2577396}, 'viewport': {'northeast': {'lat': -5.119654320107278, 'lng': 120.2591260798927}, 'southwest': {'lat': -5.122353979892722, 'lng': 120.2564264201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO 92337 Wisma Arwini Syariah,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108560045641904596472"">A Google User</a>'], 'photo_reference': 'AUGGfZmm9xUNkt3mnDDzEE4k5k5WYYI89QCuUB6JoSWmu-zAxHUGV0kbvyvkW2CXk7TyLCrPeYK286WOdlG5Z05cstlwrCRgcOKpET55iRBUyZP44a82f3FKJ5tsE-rRRCRBdv-YqU15Unb_CzjO5YZ2naa8QghMQKoasLFC-s3UzFwXpw1V', 'width': 640}]",ChIJ8bs6JdwlvC0RDFilHsqlr1E,"{'compound_code': 'V7H5+J3 Balangnipa, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V7H5+J3'}",4.4,ChIJ8bs6JdwlvC0RDFilHsqlr1E,"['lodging', 'point_of_interest', 'establishment']",161,,https://www.google.com/maps/place/?q=place_id:ChIJ8bs6JdwlvC0RDFilHsqlr1E
OPERATIONAL,"Jl. Bulu Bicara, Bongki, Kec. Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan 92615, Indonesia","{'location': {'lat': -5.1165553, 'lng': 120.2527116}, 'viewport': {'northeast': {'lat': -5.115210370107278, 'lng': 120.2540435798927}, 'southwest': {'lat': -5.117910029892722, 'lng': 120.2513439201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wisma Tenrisannae,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111864609876941153635"">A Google User</a>'], 'photo_reference': 'AUGGfZlwSWW2axNR8ppA__SlhyuAKm9pIggc-YiK-L8Jj8vUIhPsJHua4OPr9VWXb4yHfe6QTygDfZov7U4_z742aR-xUS8cZae2WU5dvR64hOmknrmiEtq6N7mKRCqjylfYV_JnwevD6-QWOap4htlTSvxbpsaI0qTnISrk6SBVuqwJ_SFv', 'width': 2296}]",ChIJVwjwR-AlvC0Rv7Iii3DnIpQ,"{'compound_code': 'V7M3+94 Bongki, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62V7M3+94'}",4.0,ChIJVwjwR-AlvC0Rv7Iii3DnIpQ,"['lodging', 'point_of_interest', 'establishment']",66,,https://www.google.com/maps/place/?q=place_id:ChIJVwjwR-AlvC0Rv7Iii3DnIpQ
OPERATIONAL,"Unnamed Road, Balangnipa, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan 92614, Indonesia","{'location': {'lat': -5.245386, 'lng': 120.1659521}, 'viewport': {'northeast': {'lat': -5.243687470107279, 'lng': 120.1674269798928}, 'southwest': {'lat': -5.246387129892723, 'lng': 120.1647273201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Putri Kembar Sinjai,,ChIJl_w0ZeklvC0Rv26FJYsNdJI,"{'compound_code': 'Q538+R9 Alenangka, Sinjai Regency, South Sulawesi, Indonesia', 'global_code': '6Q62Q538+R9'}",4.3,ChIJl_w0ZeklvC0Rv26FJYsNdJI,"['lodging', 'point_of_interest', 'establishment']",4,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJl_w0ZeklvC0Rv26FJYsNdJI
OPERATIONAL,"QW44+49F, Jl. Poros Malino, Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia","{'location': {'lat': -5.2446833, 'lng': 119.905919}, 'viewport': {'northeast': {'lat': -5.243483820107278, 'lng': 119.9071974298927}, 'southwest': {'lat': -5.246183479892721, 'lng': 119.9044977701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pondok Ningsih,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106071540389954343746"">A Google User</a>'], 'photo_reference': 'AUGGfZmoqttWd5Y_VjeROcn1bREE7auSyIHqi4_lC6VJVPPTZiZFXLIwn5hN1FcOzoRRsOySi-maa0D4bwYUfHU1QR0nL0o-UE-MZw47yym69s-wgBbghBGNv2mhifhJAFch_zNtDyA7fQZ_rcAP5wRcb5EuwassMNhuDfvgZhIAkAUCWskc', 'width': 492}]",ChIJxZZ4N0CWvi0RemL84uqOxQo,,0.0,ChIJxZZ4N0CWvi0RemL84uqOxQo,"['lodging', 'point_of_interest', 'establishment']",0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJxZZ4N0CWvi0RemL84uqOxQo
