business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,url
OPERATIONAL,"WC3Q+2P3, JLN MAKIMUGU, Bagou, Distrik Tigi Timur, Kabupaten Deiyai, Papua 98781, Indonesia","{'location': {'lat': -4.097489299999999, 'lng': 136.4393054}, 'viewport': {'northeast': {'lat': -4.096139470107277, 'lng': 136.4406552298927}, 'southwest': {'lat': -4.09883912989272, 'lng': 136.4379555701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan Jaya,ChIJCy9WiFo1ImgRe84gTjg6hZY,0.0,ChIJCy9WiFo1ImgRe84gTjg6hZY,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJCy9WiFo1ImgRe84gTjg6hZY
OPERATIONAL,"Jln .yawei muku 1, Tenedagi, Distrik Tigi Barat, Kabupaten Deiyai, Papua 98727, Indonesia","{'location': {'lat': -4.124948, 'lng': 136.275299}, 'viewport': {'northeast': {'lat': -4.123598170107278, 'lng': 136.2766488298927}, 'southwest': {'lat': -4.126297829892722, 'lng': 136.2739491701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan,ChIJwWCX1tcrImgRuU8ZVDTsN5U,3.5,ChIJwWCX1tcrImgRuU8ZVDTsN5U,"['lodging', 'point_of_interest', 'establishment']",2,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116118213293926960256"">A Google User</a>'], 'photo_reference': 'AUGGfZnEnkH2uTZuNuG9ZNPMjYD2GqUzH8cL3MmrJpQLmo2jlvjpi6KSyJ3esgJEqCQYFh6RQbxlwyX4_YjpTO64NH_eg3_wIHCELM0pr0orw53c35ikoJ3E9YcsWSplw1rHUUNWM8uvVPvRxwZeGz9i7Y5M8RL4ag77Az03qfbOVD18mXLi', 'width': 640}]","{'compound_code': 'V7GG+24 Tenedagi, Deiyai Regency, Papua, Indonesia', 'global_code': '6Q7RV7GG+24'}",https://www.google.com/maps/place/?q=place_id:ChIJwWCX1tcrImgRuU8ZVDTsN5U
OPERATIONAL,"X73J+W9H, Wagete I, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.0451834, 'lng': 136.2809719}, 'viewport': {'northeast': {'lat': -4.043870720107278, 'lng': 136.2823814298927}, 'southwest': {'lat': -4.046570379892722, 'lng': 136.2796817701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PENGINAPAN ALFAGO JAYA,ChIJsbHXY7EpImgR5zFEWNO4fb8,3.0,ChIJsbHXY7EpImgR5zFEWNO4fb8,"['lodging', 'point_of_interest', 'establishment']",2,"[{'height': 1970, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108909402973839980001"">A Google User</a>'], 'photo_reference': 'AUGGfZkN_ZzKnFasp5HmdSZosdNGyCxkm_UVoxgmzCkdrDn63WDgppAK6O9r590rfb_NBzQ5vQLJAszqyG3Nba4pUAUt_hKp6tvWSdVPgP0xRpmx-Q9SgJE2s0SDa6zYaj6rsxlRWbgeQQJoj_NC_6RONVLzkB4GK-UQKBJT_wrphblxuUIK', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJsbHXY7EpImgR5zFEWNO4fb8
OPERATIONAL,"X77R+WHF, Waghete II, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.0351849, 'lng': 136.2914111}, 'viewport': {'northeast': {'lat': -4.033849070107277, 'lng': 136.2928767298928}, 'southwest': {'lat': -4.036548729892722, 'lng': 136.2901770701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Homestay Nona Maria I,ChIJUWEniJIvImgRfgG83tkajwA,5.0,ChIJUWEniJIvImgRfgG83tkajwA,"['lodging', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJUWEniJIvImgRfgG83tkajwA
OPERATIONAL,"X74H+XCM, Waghete II, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.042536399999999, 'lng': 136.2785402}, 'viewport': {'northeast': {'lat': -4.041198070107278, 'lng': 136.2799666298927}, 'southwest': {'lat': -4.043897729892722, 'lng': 136.2772669701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Penginapan duta Tigi,ChIJG3BsSQApImgRmtvjXMsWs6c,0.0,ChIJG3BsSQApImgRmtvjXMsWs6c,"['lodging', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJG3BsSQApImgRmtvjXMsWs6c
OPERATIONAL,"Jaln airport No.3, Moanemani/ Ikebo, Kec. Kamu, Kabupaten Dogiyai, Papua 98863, Indonesia","{'location': {'lat': -4.0035454, 'lng': 136.0447244}, 'viewport': {'northeast': {'lat': -4.002175320107278, 'lng': 136.0461162298928}, 'southwest': {'lat': -4.004874979892722, 'lng': 136.0434165701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,dogiay,ChIJ4clW3tuRIWgRZeWS-8RbJf0,0.0,ChIJ4clW3tuRIWgRZeWS-8RbJf0,"['lodging', 'point_of_interest', 'establishment']",0,,"{'compound_code': 'X2WV+HV Moanemani/ Ikebo, Dogiyai Regency, Papua, Indonesia', 'global_code': '6Q7RX2WV+HV'}",https://www.google.com/maps/place/?q=place_id:ChIJ4clW3tuRIWgRZeWS-8RbJf0
OPERATIONAL,"Awabutu, Paniai Timur, Paniai Regency, Papua 98726, Indonesia","{'location': {'lat': -3.927903199999999, 'lng': 136.374559}, 'viewport': {'northeast': {'lat': -3.926597720107278, 'lng': 136.3759117798928}, 'southwest': {'lat': -3.929297379892722, 'lng': 136.3732121201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,BRILIAN HOME STAY,ChIJFyMxFj89ImgRAQOyAVKDyX4,4.0,ChIJFyMxFj89ImgRAQOyAVKDyX4,"['lodging', 'point_of_interest', 'establishment']",33,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116321874257724168620"">SK Tan</a>'], 'photo_reference': 'AUGGfZlS5AzLugRRWOCY-J7EqHPIErJDq-OrVR3V0WPRFAob9kejl6MxQircRnhfCWqyHRqCcuHSUnWHtvq1sC1QB7pwViaIiye8pgLLEluu51FXa1CmJ5vkebOnWpq6zMOINOicxffpz7vhHwREsmObpNMxOMxTe9PFMdr-b0v-W4DHx4c3', 'width': 4000}]","{'compound_code': '39CF+RR Awabutu, Paniai Regency, Papua, Indonesia', 'global_code': '6Q8R39CF+RR'}",https://www.google.com/maps/place/?q=place_id:ChIJFyMxFj89ImgRAQOyAVKDyX4
OPERATIONAL,"Tim, Enarotali, Paniai Tim., Kabupaten Paniai, Papua 98726, Indonesia","{'location': {'lat': -3.9284414, 'lng': 136.3780583}, 'viewport': {'northeast': {'lat': -3.927149570107279, 'lng': 136.3794098298928}, 'southwest': {'lat': -3.929849229892723, 'lng': 136.3767101701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Guest House Paniai,ChIJPaQpvj49ImgRUdvb9JvZH-U,4.2,ChIJPaQpvj49ImgRUdvb9JvZH-U,"['lodging', 'point_of_interest', 'establishment']",55,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115286360635530424728"">A Google User</a>'], 'photo_reference': 'AUGGfZlSBt8SLu2MzleZYvSP2f0REqJWt_xSTT5K_3bGSJn1Ratduh1SCtQmeSrflyhdGG8URTClsaa4uYYHspRTzujGUvIbSy-xu__6gRmphABkE_us8oQkYPj_27Kf1vTAHPsAIpYBXZij7LY-bIao7Q65dKldh0_28eZg20ZGwS6JpmxQ', 'width': 4160}]","{'compound_code': '39CH+J6 Enarotali, Paniai Regency, Papua, Indonesia', 'global_code': '6Q8R39CH+J6'}",https://www.google.com/maps/place/?q=place_id:ChIJPaQpvj49ImgRUdvb9JvZH-U
OPERATIONAL,"6C64+78G, JL. Jend. Sudirman, Mujaiyepa / Munayepa / Muniyep, Nabire, Kabupaten Paniai, Papua 98719, Indonesia","{'location': {'lat': -3.7893205, 'lng': 136.4058205}, 'viewport': {'northeast': {'lat': -3.787970670107279, 'lng': 136.4071703298928}, 'southwest': {'lat': -3.790670329892722, 'lng': 136.4044706701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kepala Kepolisian Resort Paniai,ChIJnZf9iikOImgRTIDFIT0LJzs,5.0,ChIJnZf9iikOImgRTIDFIT0LJzs,"['lodging', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJnZf9iikOImgRTIDFIT0LJzs
