business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Ir. H. Alala, Tipulu, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara, Indonesia","{'location': {'lat': -3.9677211, 'lng': 122.552394}, 'viewport': {'northeast': {'lat': -3.966402070107279, 'lng': 122.5537412298927}, 'southwest': {'lat': -3.969101729892722, 'lng': 122.5510415701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Anjungan Teluk Kendari,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117793898772294042126"">A Google User</a>'], 'photo_reference': 'AUGGfZnIG7uWIhDJnnbbu_PcdyJnlPmNmhYw63sJ_mGV24mSPYWARjAw-ABwJY6dBJXpApXaG-fGGoTVm1M98sP0yWwB5sVInVD5e_p42-gsd8deNEc0jl0pNuHvgIIS_BeTmYZNLW0W7NzpEmgPvuT0ig_utC7u5vejZuN2CKThyIQVC7Ko', 'width': 2160}]",ChIJFy95csPtmC0RxywHaTQBGdg,"{'compound_code': '2HJ2+WX Tipulu, Kendari City, South East Sulawesi, Indonesia', 'global_code': '6Q842HJ2+WX'}",4.3,ChIJFy95csPtmC0RxywHaTQBGdg,"['tourist_attraction', 'point_of_interest', 'establishment']",477,https://www.google.com/maps/place/?q=place_id:ChIJFy95csPtmC0RxywHaTQBGdg
OPERATIONAL,"HC2F+2X6, Labengi, Lasolo, North Konawe Regency, South East Sulawesi 93352, Indonesia","{'location': {'lat': -3.449952, 'lng': 122.4248952}, 'viewport': {'northeast': {'lat': -3.448602170107278, 'lng': 122.4262450298927}, 'southwest': {'lat': -3.451301829892722, 'lng': 122.4235453701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa labengki,,"[{'height': 1184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112480215287543477715"">A Google User</a>'], 'photo_reference': 'AUGGfZkzYRJAk1Yyjh9azW-yG3lnc1W1KTdpzb7vvDJJZm_GmTEA_RoTucB7644ynpCjAFgAIETVr0KCxHhEnMo1cW1tY5OiZzDPcMEsila5HHWEkDeFuHFLPdIhIg9ko6t2XjWgxWkGNXqnZHGZ7QatnfDLqTAkc5EVeUW2mNB7Va64gcw2', 'width': 1776}]",ChIJmQfvkXgLmS0RiCUaiTKPu5E,,5.0,ChIJmQfvkXgLmS0RiCUaiTKPu5E,"['tourist_attraction', 'point_of_interest', 'establishment']",4,https://www.google.com/maps/place/?q=place_id:ChIJmQfvkXgLmS0RiCUaiTKPu5E
OPERATIONAL,"2F94+X9F, Abeli Dalam, Puuwatu, Kendari City, South East Sulawesi, Indonesia","{'location': {'lat': -3.980051699999999, 'lng': 122.4559186}, 'viewport': {'northeast': {'lat': -3.979063970107278, 'lng': 122.4570132298927}, 'southwest': {'lat': -3.981763629892722, 'lng': 122.4543135701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mantara Waterpark Kendari,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103968199999996196508"">A Google User</a>'], 'photo_reference': 'AUGGfZncpZsVxdxzasWMPaSBBfMPDmQ8n154yRndc9o__CKVYZiPyXLt-1XRnacaOdHdMTU6ii3lxlOORo4EcWfuvaJlIW239blU9i8rZg7qnfQejquRu9ED3lCok3Y9S-WPCNEwCicdvNNwA3zRwTvCPKsX0nYdSIsaun_-DeCwcsJcLP8R', 'width': 2084}]",ChIJ7ZxP8HPzmC0REU-OrUlDVdI,,4.4,ChIJ7ZxP8HPzmC0REU-OrUlDVdI,"['tourist_attraction', 'point_of_interest', 'establishment']",256,https://www.google.com/maps/place/?q=place_id:ChIJ7ZxP8HPzmC0REU-OrUlDVdI
