business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,url
OPERATIONAL,"Jl. Jenderal Sudirman, Talang Ubi Tim., Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31211, Indonesia","{'location': {'lat': -3.2770403, 'lng': 103.8307132}, 'viewport': {'northeast': {'lat': -3.275672720107278, 'lng': 103.8321037798927}, 'southwest': {'lat': -3.278372379892723, 'lng': 103.8294041201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Charlee Hotel,{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106156814950682610129"">Muhamad Lasmani</a>'], 'photo_reference': 'AUGGfZkkzNr9LJgJNe_U4_gINMqrV7hiFx7L-wMQNRrKQuNEqsh3Jvf61zm_JW5iXQYM-CuGKZbN3xjBEaU1AmKZ8xFJD_0NcezX73nOC4yEYa_P1_WHAiKrjlo_IHKEWa3BWWgfMLeUtpFNLlQZzGyE7o6qs0759ymIXZe3fSHAdzL4gHlx', 'width': 4624}]",ChIJhXyzeYNrOi4R_6UDvYN_lsk,"{'compound_code': 'PRFJ+57 East Talang Ubi, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85PRFJ+57'}",4.0,ChIJhXyzeYNrOi4R_6UDvYN_lsk,"['lodging', 'point_of_interest', 'establishment']",331,https://www.google.com/maps/place/?q=place_id:ChIJhXyzeYNrOi4R_6UDvYN_lsk
OPERATIONAL,"Handayani, Jl. Merdeka, Handayani Mulya, Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31212, Indonesia","{'location': {'lat': -3.298092, 'lng': 103.853259}, 'viewport': {'northeast': {'lat': -3.296693470107277, 'lng': 103.8546405298927}, 'southwest': {'lat': -3.299393129892722, 'lng': 103.8519408701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Puriwara,{'open_now': False},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101834467956922484627"">A Google User</a>'], 'photo_reference': 'AUGGfZnbf-JiCZjFDfTTRIxPmxwRt8lKolG1ItSyowpr0dP0peXCR-HlekDxoenr3C059wggdwkVuDNTJdgSMG4D-kLrwsgBwri5VnpfDFR0ufqrcckBBA4SF_qBTb8YCkzQ49Li2Q6TRKDfucxee6bRlC-gfkzIPSbZaNs0kUxTmSQmXPuC', 'width': 4128}]",ChIJJTMOo05rOi4R-g1gIQDjNCU,"{'compound_code': 'PV23+Q8 Handayani Mulya, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85PV23+Q8'}",3.8,ChIJJTMOo05rOi4R-g1gIQDjNCU,"['lodging', 'point_of_interest', 'establishment']",97,https://www.google.com/maps/place/?q=place_id:ChIJJTMOo05rOi4R-g1gIQDjNCU
OPERATIONAL,"PR5V+P9C, Jl. Merdeka, Petulai, Kec. Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan 31314, Indonesia","{'location': {'lat': -3.290711, 'lng': 103.8433575}, 'viewport': {'northeast': {'lat': -3.289386370107278, 'lng': 103.8446512798927}, 'southwest': {'lat': -3.292086029892722, 'lng': 103.8419516201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Nurthania,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117177587338259162711"">yycrisspy4</a>'], 'photo_reference': 'AUGGfZlO7toDjqx3p4U5zukeKh1fk9Pn5ppTbz27Zg7cvqrQZfuoC8CVh-0QQWkH23SotiEt7fVGMf7ML-7VPudn_yxWUR8k6tJ2iaWjtaFoRHrH5sDqnzoKujn9O1nOIIVKDmYeRkW-SVhVt2CkWKINyQBqUn-dpTyX6QKaAF6S2xGnEXTz', 'width': 2252}]",ChIJnYUMonJrOi4RW3y7mHxYASY,,3.7,ChIJnYUMonJrOi4RW3y7mHxYASY,"['lodging', 'point_of_interest', 'establishment']",163,https://www.google.com/maps/place/?q=place_id:ChIJnYUMonJrOi4RW3y7mHxYASY
OPERATIONAL,"JL. Raya Gisting Bawah Blok 1, Campang, Pringsewu, Kabupaten Tanggamus, Lampung 35371, Indonesia","{'location': {'lat': -5.4235584, 'lng': 104.7308062}, 'viewport': {'northeast': {'lat': -5.422191870107278, 'lng': 104.7321362298927}, 'southwest': {'lat': -5.424891529892722, 'lng': 104.7294365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Gisting Hotel,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113783878548146100157"">Ricki alifiya</a>'], 'photo_reference': 'AUGGfZktrkK51SusZgcyE8-leu9S0CujB0lU5xc2YJkkoT6Zffag1UCnE8NK24En2cqKxinFqSS1uxvZpe-veTRudto2hQFn0h6mjkYlbicvnAHoVxUZBFFVGFXGQMUnn-6tZdyXdF4eDSONtY6UUevJREAZbOLf6hoqUHCnvH355JEh7l1A', 'width': 1920}]",ChIJ6ePOyJojRy4RpeYUgri9TYc,"{'compound_code': 'HPGJ+H8 Campang, Tanggamus Regency, Lampung, Indonesia', 'global_code': '6P66HPGJ+H8'}",3.7,ChIJ6ePOyJojRy4RpeYUgri9TYc,"['lodging', 'point_of_interest', 'establishment']",209,https://www.google.com/maps/place/?q=place_id:ChIJ6ePOyJojRy4RpeYUgri9TYc
OPERATIONAL,"Jalan Raya Muara Enim, Cambai, Prabumulih City, South Sumatra 31141, Indonesia","{'location': {'lat': -3.3807474, 'lng': 104.2749401}, 'viewport': {'northeast': {'lat': -3.379373020107278, 'lng': 104.2763162798927}, 'southwest': {'lat': -3.382072679892723, 'lng': 104.2736166201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,OYO Life 91027 Note Hotel Syariah,,"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108759580883810442164"">A Google User</a>'], 'photo_reference': 'AUGGfZkL8XaDeegxd_g-fEkS8Rl2ZWjWDYdmOfUBKLuubN8FN7pb5CIZH89pqV6P--BN8GxgvsgUVv_tcNkltr1ag54ZymlnDbQ64HuW5EABNZ2VphnqVrkrHkW7e9d3UUApPlgos3w16VJdDOI0akzfO3-rZvwtY1TxZyx_QQOLVA0dex67', 'width': 640}]",ChIJ4fcCohY1Oi4ReWG0fKp0ZAo,"{'compound_code': 'J79F+MX Cambai, Prabumulih City, South Sumatra, Indonesia', 'global_code': '6P86J79F+MX'}",3.9,ChIJ4fcCohY1Oi4ReWG0fKp0ZAo,"['lodging', 'point_of_interest', 'establishment']",9,https://www.google.com/maps/place/?q=place_id:ChIJ4fcCohY1Oi4ReWG0fKp0ZAo
OPERATIONAL,"Jl. Nigata No.KM 9 No. 24, Cambai, Kec. Cambai, Kota Prabumulih, Sumatera Selatan 31145, Indonesia","{'location': {'lat': -3.3806956, 'lng': 104.2749673}, 'viewport': {'northeast': {'lat': -3.379350920107278, 'lng': 104.2763116298927}, 'southwest': {'lat': -3.382050579892722, 'lng': 104.2736119701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,RedDoorz near Citimall Prabumulih,,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115190911285070278575"">A Google User</a>'], 'photo_reference': 'AUGGfZlRgVs968Xg2AgdyukN-57vJ6pHkp_ox2SIrv41syAd3pc_5FTQ8ajzq_ZILYZOBdTgJ8Brx7cZF001NsK1FTHue6cFgmG9-QlF3EAek-GggaFbwg7FdcpfeCNvbfdK1T-2VZ4VjOwoIKOIU5QJXpy7sYSsKjEhpBSjdS4jCsCOK5Lk', 'width': 900}]",ChIJQ1DXPaU1Oi4RQ5PRy27czJk,"{'compound_code': 'J79F+PX Cambai, Prabumulih City, South Sumatra, Indonesia', 'global_code': '6P86J79F+PX'}",3.4,ChIJQ1DXPaU1Oi4RQ5PRy27czJk,"['lodging', 'point_of_interest', 'establishment']",64,https://www.google.com/maps/place/?q=place_id:ChIJQ1DXPaU1Oi4RQ5PRy27czJk
OPERATIONAL,"30862, South Tebing Gerinting, Indralaya, South Sumatra, 30862, Indonesia","{'location': {'lat': -3.319438, 'lng': 103.914399}, 'viewport': {'northeast': {'lat': -3.318107120107278, 'lng': 103.9157478798927}, 'southwest': {'lat': -3.320806779892722, 'lng': 103.9130482201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SPOT ON 92309 Homestay Al Ittifaqiah,,,ChIJgVVVVVUVOi4R2ohfkb0zBzE,"{'compound_code': 'MWJ7+6Q Handayani Mulya, Penukal Abab Lematang Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P85MWJ7+6Q'}",0.0,ChIJgVVVVVUVOi4R2ohfkb0zBzE,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJgVVVVVUVOi4R2ohfkb0zBzE
