business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,url
OPERATIONAL,"V2HJ+GV8, Unnamed Road, Kec. Pinupahar, Kabupaten Sumba Timur, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -10.121204, 'lng': 120.0322087}, 'viewport': {'northeast': {'lat': -10.11935587010728, 'lng': 120.0333395798928}, 'southwest': {'lat': -10.12205552989272, 'lng': 120.0306399201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Walla,"[{'height': 1970, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118020519400841088364"">Subianto Waingapu</a>'], 'photo_reference': 'AUGGfZlWAFuTDX2bp5CJMoPqHp7H8RJSMpG6dG_cdP1ZOvIm_Zz0PKdDVD02jOO3KaQUeixcGpg5nY5yzWffqr9gGOzmwyJ9SeM9_q8pYd-M_1G2HHkFwrB0QpijI2TJEJ9m0jHeKe4rlVA8O0WufMUECzi5BHzDUJ-IGFEmmzdDxI4wfmlC', 'width': 4160}]",ChIJ2fnZ7_mNSywRbjj_zUMz-Xw,0.0,ChIJ2fnZ7_mNSywRbjj_zUMz-Xw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2fnZ7_mNSywRbjj_zUMz-Xw
OPERATIONAL,"V365+XJ3, Tawui, Pinupahar, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.1376021, 'lng': 120.0590339}, 'viewport': {'northeast': {'lat': -10.13607957010728, 'lng': 120.0607342798927}, 'southwest': {'lat': -10.13877922989272, 'lng': 120.0580346201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tawui,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101160282701345703892"">A Google User</a>'], 'photo_reference': 'AUGGfZkno11V0V_Q63_1YRrfaFvC_zp_cJZwe5AXH-dRrkO2eUp_UY9CG9K5NyRgxS4CB7Sd8TMSmKJ2rpjphiWq2pztWUYDQrr_dWClLT96gruZEoKahDi8usZAmuuvFjrmpdyNFAGEZ4sVOe6UHU5boLDE009TajwRMC3wDzlOeqs86gqq', 'width': 3000}]",ChIJ244Rz5uNSywRnef-6glr3mo,5.0,ChIJ244Rz5uNSywRnef-6glr3mo,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJ244Rz5uNSywRnef-6glr3mo
OPERATIONAL,"X5J6+JH, Waikanabu, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.018445, 'lng': 120.1614622}, 'viewport': {'northeast': {'lat': -10.01709517010728, 'lng': 120.1628120298927}, 'southwest': {'lat': -10.01979482989272, 'lng': 120.1601123701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Patamawai,,ChIJVWxwYQJ3TCwRz4RCcZAjkkM,0.0,ChIJVWxwYQJ3TCwRz4RCcZAjkkM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJVWxwYQJ3TCwRz4RCcZAjkkM
OPERATIONAL,"Praing Kareha, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0246875, 'lng': 120.0575625}, 'viewport': {'northeast': {'lat': -10.02322242010728, 'lng': 120.0590309298927}, 'southwest': {'lat': -10.02592207989272, 'lng': 120.0563312701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Danau Laputi,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114298885541644971876"">dani ringu</a>'], 'photo_reference': 'AUGGfZm3zwl1WYUrVTT57qZt2yiTlxiiUX3mn2s7bPKb3rZIsL1nkRy0lwwFl44b6jAsHQuQSaApQSEzgJs64-6amVbUzm_jUP8uhmdq9LKdV2UH6oer5EyobnhGPnQp5w4Si75yE1kgumhaHuNWyJ8H_ePi-mmmPWcPfmx-PA3uh0v0Dvb2', 'width': 5184}]",ChIJex9q3kiPSywRTZcDHckFtns,4.4,ChIJex9q3kiPSywRTZcDHckFtns,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",16,{'open_now': False},"{'compound_code': 'X3G5+42 Praing Kareha, East Sumba Regency, East Nusa Tenggara, Indonesia', 'global_code': '5QX2X3G5+42'}",,https://www.google.com/maps/place/?q=place_id:ChIJex9q3kiPSywRTZcDHckFtns
OPERATIONAL,"XXFM+J5P, Pindu Hurani, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0259241, 'lng': 119.9829571}, 'viewport': {'northeast': {'lat': -10.02400567010728, 'lng': 119.9844845298928}, 'southwest': {'lat': -10.02670532989272, 'lng': 119.9817848701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pantai Pindu Hurani, Tabundung,sumba Timur","[{'height': 453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108800310989424228519"">Simon renggi kelambani</a>'], 'photo_reference': 'AUGGfZkWe05u4iYe776X2OZRWzkhr3Fbj48n1xru25lksLusYzWeMR6GY0zOd80cuNAYd1hWeXq0etoioikoBtRPUEeorj2bzv-LXZqIBZbEe580wCD9xH4yDZ0rjHgF_iY2HZlp5fnDx88gmV9lZMuaFWaQ0wVMsPV6CFFGOk0qxa8p6c_U', 'width': 604}]",ChIJJ2rD1PqPSywRJoik04iDe_s,5.0,ChIJJ2rD1PqPSywRJoik04iDe_s,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJJ2rD1PqPSywRJoik04iDe_s
CLOSED_TEMPORARILY,"X2FQ+J8F, Praing Kareha, Tabundung, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.0259485, 'lng': 120.0382995}, 'viewport': {'northeast': {'lat': -10.02467802010728, 'lng': 120.0399991798927}, 'southwest': {'lat': -10.02737767989272, 'lng': 120.0372995201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Laingogor,,ChIJG2DY-muPSywRyvZB74JMXWU,2.5,ChIJG2DY-muPSywRyvZB74JMXWU,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,True,https://www.google.com/maps/place/?q=place_id:ChIJG2DY-muPSywRyvZB74JMXWU
CLOSED_TEMPORARILY,"R47F+V25, Praimadita, Karera, East Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -10.185354, 'lng': 120.1226081}, 'viewport': {'northeast': {'lat': -10.18466757010728, 'lng': 120.1232884298927}, 'southwest': {'lat': -10.18736722989272, 'lng': 120.1205887701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wai Wau Panorama,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103616587189601789914"">A Google User</a>'], 'photo_reference': 'AUGGfZmT8xgvE26EgBGNw9yMNM5Gno8sMf6lF8vPasKmACYC7ypNb8CWJOzlqu3hbw5awXJ2wqiJULkrB0LqBPxAKTzOn4bgiRHT5sY7jIqVNXthPTLrG5lxP3nrd0ieLEAuH3zBhnmf1vITMztOjv4B9CcsnyW5pzRufC-9HTvUnDGObQ3d', 'width': 4640}]",ChIJT6JZxUz1SywRZoHDBeD2Pug,5.0,ChIJT6JZxUz1SywRZoHDBeD2Pug,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,True,https://www.google.com/maps/place/?q=place_id:ChIJT6JZxUz1SywRZoHDBeD2Pug
