formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"MFQQ+45P, Pulutan, Sidorejo, Salatiga City, Central Java 50714, Indonesia","""Pengantin"" Tree Salatiga","[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112632012660615965612"">hilmi alfakhri</a>'], 'photo_reference': 'AUGGfZnD1DOt3Zvc1t7-MFS9Rahqia3Sl1UXdzv1ySByZE6Tnl91VanfonMgc6HeWapHhV5g6bRVeCHemXlzZbwmazpusufTGO5Xp86hVkWTiwShyqXuShvSrTMtbXIYyuA6O8pr9gjI8K5Mel4mRYs8ZFx1bam6MGV8GbWE3OQDcjaNJvVz', 'width': 4640}]",ChIJLYKRF294ei4RW77ik2Pznx8,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",963.0,-7.312155000000001,110.4879453
"MFFQ+X2C, Jl. Kyai Jl. KH. Abdul Wahid, RT.05/RW.01, Mangunsari, Kec. Sidomukti, Kota Salatiga, Jawa Tengah, Indonesia",Tapak hapsari,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103772137385197673521"">A Google User</a>'], 'photo_reference': 'AUGGfZmXQdL0lF46ga_FPveqMLh0A30w58S4TKKR-vnU_C3F2fJLWz0t-jTiCkJgTXlDnuaNkduNihvKD4_KNiYyWbIvx9U6Xph-1ntifKYx26l5LsldVXePGJc6P7NR-H9lbTX-HoR7vsquPAdWq_uSPB17kFl5lm2Y_tCfseft8mWLCHSJ', 'width': 3456}]",ChIJaVrAzoV5ei4R4iUJRlWvjtM,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",92.0,-7.325070299999999,110.4875245
"MFCP+Q35, RW.10, Dukuh, Kec. Sidomukti, Kota Salatiga, Jawa Tengah, Indonesia",Wisata Kedung Pucung,"[{'height': 1201, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107813765379325950257"">itmam Udin</a>'], 'photo_reference': 'AUGGfZnoE3ue-ZKqmn8YpNFtB_4rOm9TRMNV6k3Yc5ouVkNfP3-WNoF-bJdzROQLx5P-p6VJRXgNxg-6XxUKMPYdkpTeIOt92OTUoAwjMNb00HUZEBP0-r9wfUDP0XxWBo4OREyGl6rOkyY2Lr9YAjuvnelo5dz8NZCH0ym2TfOKv5nYmm2L', 'width': 1600}]",ChIJT0v4S4x5ei4RAUEEmEPR6YM,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,-7.3281214,110.4852339
"Jl. Melatisari Jl. Butuh No.RT.4, rw1, Kutowinangun Kidul, lor, Kota Salatiga, Jawa Tengah 50742, Indonesia",WISATA KALI SENGGUR,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118039362230337879532"">Aris Widiantoro</a>'], 'photo_reference': 'AUGGfZmupCVkap2fGx5vr-ppBWffzNjlrYipy_cmyOdUulX953Wy9KbMZG4gy7Gzvd3pwRq-TMhzajhAGoTaUmfIJz7PGNNLf4znUzguWiGK9wTMyuXvYRT6NFJcFuhDjhs8OQb-q1Y1yhLV_lg32Tx93wxG7sBz1YO1eE678yaQ-iMTI1YP', 'width': 2448}]",ChIJ8yMrAi15ei4R_3tZmueCobU,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,-7.3272565,110.5161826
"MG29+W2H, Ledok, Argomulyo, Salatiga City, Central Java, Indonesia",Wisata Edukasi Argotelo,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109635718267371046423"">A Google User</a>'], 'photo_reference': 'AUGGfZl-DaUi3erCelf6ngZHwTsWWYprnpM4zZ5QnCoXDdWDv3KqKgMgWztMvEfLRh_ZSYjPM9H22ajEJ_oMe6cI4IB4djKfnRZmlBsqxMjoPc4xMCPNl7GUyO5hN5Vc_ceIB8JBuNPBFlDjBCo_ZggO2-CiAiJiTWZSpfZSjieZ3WmiHl68', 'width': 1280}]",ChIJg0Jz9m15ei4RggOup1J76NE,4.9,"['tourist_attraction', 'point_of_interest', 'establishment']",31.0,-7.347687499999999,110.5176094
"Jl. Gn. Sari, Sidorejo Kidul, Kec. Tingkir, Kota Salatiga, Jawa Tengah 50741, Indonesia",Gumuk sidul menul menul,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109533538098925759932"">russelin edhyati</a>'], 'photo_reference': 'AUGGfZkS3PSGALThqYw7afVDdZ1fRemAvB6BunlO_kAO-xFe0vKfcd5M3N3Fb4Zm8IOL-aX_W-A5rTF6rLxE474z6SOAlXdle7saRjTj9HepeleW6wgJGE8aYth6x0b079YLWppfETXUAKN2swVgZDBVjEQ2lo0MlBa8xmumtYMB3eF1Bvyr', 'width': 4032}]",ChIJIcL__M93ei4RzTDRnQe0cLw,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",42.0,-7.3290831,110.5238067
"Jl. Plumpungan, RT.002/RW.001, Kauman Kidul, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50712, Indonesia",Prasasti Plumpungan,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104346899652958200648"">David Tanu Widjajanto</a>'], 'photo_reference': 'AUGGfZmYvGmF3iqguv8v1pGTn-QgQTreVbIuBnCD41wxMoesqRCRP3u4KK5V7L40wgTHNl308bIFNj62iZmMQnF76qRZT-CRody_vPzBBXOsLLtFA46pKCAPWNcH80L5P3GhLZXtmNTgnfRkEZFD262CAoJcFmfm6RaHQ_CpfKWWo-qkrNxu', 'width': 1920}]",ChIJ9x4wRwV4ei4RbSfvbIKObUE,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",542.0,-7.3064051,110.5110016
"MGF2+C7M, Jl. Kartini, Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50711, Indonesia",Selasar Kartini,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116158291169694410714"">isywara puraya</a>'], 'photo_reference': 'AUGGfZnXYeWRosFplxdKvTaZAr3GZgo4OGn1S2b_Z0EaMjfub9LOaEyVSSP10W_ipt7qBkTuxDVf2Jh86khvGgR8idJ4CMZV5FzYDRRDgp7JPltdL__-ODIf0iiAzIr8FHurCHh04L-fzAtg6Rn2H1KgMFDnGBUjvFH9AaJx0bzl2YuaaK-Y', 'width': 4160}]",ChIJd3EyTTh4ei4RiGjAQUd89I4,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",2784.0,-7.3264103,110.5006744
"MFWW+3WP, Jl. Ki Penjawi IV, Sidorejo Lor, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50714, Indonesia",Kendedes Cafe Dan Karaoke,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118001826831224748204"">yohanes tunggul wahyu harianto</a>'], 'photo_reference': 'AUGGfZnxtLnW6J0zSpzZoO6ikz-7kFusPPPPay_kuaNlA7EdsCqcAY_QqSJ5xEv2FBhiRGx7EDuXNOScaN9HtrEfA6ehETsislQSFdNhCergiAlxYuHaxN9ap74XEU1upNBxLSJxZDSxDdNp92kikrMOAlWZvaHuuhJThwm5eIfIBDyyuI_K', 'width': 1920}]",ChIJFYR9pqB5ei4Rv3em4wsum7g,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0,-7.304775399999999,110.4973321
"bendosari rt.05-rw.05, Kumpulrejo, Kec. Argomulyo, Kota Salatiga, Jawa Tengah 50734, Indonesia",Salatiga City Park,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112015265660666997232"">BOWO BS</a>'], 'photo_reference': 'AUGGfZm1VoD5wKRlfKAb564vkEqvlPFkTJ7_1Pc4wYn00-9_29DhZVnKZt4khcBgWRzqKfWcdKP8LIlE6rXcSnMNK548p3c3QMipMv5MwKn-dfyqHb4UcfVcFHx_kavirCw4Pem25csM3eJPkxtTfZ-BtLRUnmDE9c9-QngdV1-DUJ8Za6cT', 'width': 4000}]",ChIJ5y3kiaN5ei4RuE5mLIGm6pQ,4.4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3049.0,-7.354315000000001,110.481207
